Time,Temperature(C),RH,UV Index,Pressure(mbar),Precipitation,Image URL,,,,,
"February 13, 2016 at 12:41AM",-4,28,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 13, 2016 at 12:46AM",-3.99,28,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 13, 2016 at 12:51AM",-4.06,30,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 13, 2016 at 12:56AM",-4.11,30,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 13, 2016 at 01:01AM",-4.12,31,1248,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 13, 2016 at 01:06AM",-4.16,31,1248,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 13, 2016 at 01:11AM",-4.16,30,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 13, 2016 at 01:16AM",-4.22,31,1247,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 13, 2016 at 01:21AM",-4.22,30,1246,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 13, 2016 at 01:26AM",-4.27,29,1248,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 13, 2016 at 01:31AM",-4.27,30,1250,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 13, 2016 at 01:36AM",-4.29,32,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 13, 2016 at 01:41AM",-4.4,31,1250,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 13, 2016 at 01:46AM",-4.62,30,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 13, 2016 at 01:51AM",-4.68,30,1247,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 13, 2016 at 01:56AM",-4.68,30,1248,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 13, 2016 at 02:01AM",-4.65,30,1250,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 13, 2016 at 02:06AM",-4.62,32,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 13, 2016 at 02:11AM",-4.63,36,1250,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 13, 2016 at 02:16AM",-4.66,36,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 13, 2016 at 02:21AM",-4.72,37,1250,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 13, 2016 at 02:26AM",-4.78,38,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 13, 2016 at 02:31AM",-4.85,39,1248,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 13, 2016 at 02:37AM",-4.97,42,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 13, 2016 at 02:42AM",-5.1,44,1250,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 13, 2016 at 02:47AM",-5.18,45,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 13, 2016 at 02:52AM",-5.29,46,1250,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 13, 2016 at 02:57AM",-5.34,46,1250,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 13, 2016 at 03:02AM",-5.36,47,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
"February 13, 2016 at 03:07AM",-5.52,49,1249,657,FALSE,http://storage.googleapis.com/bloomsky-img/null=.jpg,,,,,
